UnitNumber,ScaleRUL,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50
1,1.0,0.00481332726651512,0.39041128052618695,0.20449888266801242,0.40514727194759753,0.4841899015696199,0.5523081683369504,0.1312822644991944,0.4384984621367361,0.24344251660186228,0.2077235605548707,0.2884665650612203,0.2097565777429251,0.21519085667530533,0.3352474880993454,0.15696026599618443,0.23587247025889208,0.3945661674458366,0.3615942674615343,0.5019461650918929,0.38761687698954433,0.282057174586667,0.5495259212112854,0.3417540423997683,0.5383661639642028,0.3619866559370087,0.42777335205246453,0.5102973150048158,0.4935066413185015,0.27452764485442577,0.3024603669578394,0.4733078815163432,0.5220148496876406,0.4293310703936234,0.39762673644448093,0.5502274157692183,0.6189321466657116,0.5449181888481136,0.292873916978864,0.451656383268003,0.5040278398085221,0.5309576504390591,0.4380794245064012,0.49937293087330137,0.3839143047285728,0.45056965768408386,0.6659773576736776,0.40383913166356855,0.5605868544026558,0.6300612765849952,0.6387178266161206
1,0.999642857,0.004399773594736719,0.3897690343467587,0.20440998082059933,0.40601805956464526,0.48371373135499357,0.5500706919525282,0.13163191383340728,0.4381812172618249,0.24338218765847588,0.20770859986930104,0.28930520977510243,0.21078731027186157,0.21489376070972163,0.3350118910910765,0.15749467516970606,0.23568231782736385,0.39488464174518384,0.3632391792509102,0.5020492695543952,0.3852597612708561,0.28224467736795555,0.5460963398204319,0.3394508431893217,0.539328189380121,0.3645699217781002,0.4260395924845176,0.5091137743663489,0.4938791540987254,0.2752346698242506,0.3049338728000908,0.4703595544165315,0.5246185058913975,0.42552895502829025,0.40136146964631897,0.5515545082694034,0.6189988265958832,0.544843375435891,0.292211270838984,0.447068727951927,0.5055018921002213,0.5407861425619818,0.43536686123286505,0.5011792935505284,0.3913052907466455,0.4397614952656187,0.6699977178037023,0.40041004870074254,0.5567474020080926,0.6215489564698206,0.6367799512029181
1,0.999285714,0.005991906402542987,0.38876743473999703,0.20554077163667844,0.4062269611063286,0.4828086574648065,0.548518993581279,0.13167478846671798,0.4384038636438835,0.24384138910831152,0.20507521123636424,0.2894386828414563,0.21077196015918645,0.21408878571838966,0.3350540170367093,0.15638927549408363,0.23606457974541675,0.39649455431580743,0.36129434335944366,0.500184268345271,0.38750580477572816,0.2820226476007154,0.5453200681381036,0.34020695721644945,0.5375762115293804,0.36465879616495916,0.4260325579416738,0.5096272192961927,0.4955320356849358,0.27981851043700046,0.3040629060467433,0.4756394846973148,0.5265916845708553,0.423717075399308,0.3920357142803156,0.5470954254552598,0.6221917650971646,0.54452497957996,0.29029510822496574,0.44783961520083887,0.4982351245635932,0.5372284438756769,0.4396549215673606,0.5002920636763633,0.38674795976433446,0.4367374104998112,0.6861406190823524,0.39374985222330455,0.5599468176359056,0.6268875989893027,0.6425510464644503
1,0.998928571,0.005431809599553999,0.3887083678966806,0.20545277422027242,0.40589842518981056,0.4833947471538432,0.5488105398067871,0.13191172072722238,0.43968663169282984,0.2436176474258256,0.20832124738324864,0.28982414498975756,0.2109552902926855,0.21578621120207545,0.3338114156261435,0.15638387647493027,0.23711738429431733,0.39542469818591197,0.3646107516772226,0.49962294449127237,0.3867743510935945,0.2815111972741032,0.548140930698381,0.3375948712753884,0.5395043365847652,0.3643993440427115,0.42710966994199356,0.5126271482096302,0.49278142678089054,0.2779716091808726,0.3063170776259357,0.47346692491727355,0.5258946839376019,0.42808546876496145,0.398773070097335,0.5503575596208049,0.6212178778377715,0.5438668224994819,0.2884917754386253,0.44916176978463,0.5015189077585804,0.5328140330068504,0.43490409444028044,0.49808858651345284,0.38918712544987527,0.45012203835976367,0.6734046904327404,0.3999031383824983,0.5547182429918441,0.6304562058734426,0.6262089207926281
1,0.998571429,0.006030134356787085,0.3886628909615699,0.20537253796461988,0.4062572626453463,0.483619553670055,0.549579798542769,0.13348907298165044,0.43912840203702797,0.24208544449646932,0.20879786974470477,0.2893434522507991,0.21216536394788532,0.21608906693112487,0.3368505990908349,0.1568807405611271,0.23718295655076493,0.39598726918252175,0.36403622037468264,0.49888468775484923,0.38750090377514373,0.2814167585331286,0.5466627895258621,0.3386886735505656,0.5408751484055629,0.3664564461619876,0.4267764251027496,0.5053789726091491,0.49261159318502956,0.28459294537414015,0.3069103648389034,0.4749737867271609,0.5254380863856835,0.4273225142366117,0.3981405854743102,0.5519330170137144,0.6230291263069382,0.5410865700706243,0.28844228590431165,0.44875483469325633,0.5022240106430218,0.5411303771078312,0.43519678303859377,0.5022921496546392,0.39116724016717247,0.44397784882710634,0.6668480622044747,0.398450182439128,0.5600173552063671,0.6253799100719175,0.6282278993065539
1,0.998214286,0.006674243475693706,0.39061788860325225,0.20447650408769716,0.4047202738178143,0.4830960539363731,0.5514751122134082,0.13099894173487506,0.43830053632945665,0.24375297125317394,0.20956114731441447,0.28895168714864516,0.21072395371163655,0.21430541533410732,0.33531271908799365,0.1562614981852941,0.23548277869057185,0.3979955035190167,0.36091030235419946,0.49924566830793404,0.3869709657120954,0.28420449604282505,0.5463828781547816,0.34215552726714094,0.5394573950206105,0.36413249058081826,0.42671332865349715,0.5108624773305988,0.48469084110849997,0.27880210474114225,0.3082855328229538,0.4718697488636722,0.5221671375661218,0.4279293182841649,0.39850969048022034,0.5479257233683713,0.626338663066208,0.5442638026838056,0.28452067359829014,0.4458752947506294,0.49482346611353645,0.5403666005476047,0.43972759147414214,0.5028845118396043,0.3854903024824318,0.4465800382064384,0.6734599250625126,0.4023038587960186,0.5649391406478581,0.6266448046460114,0.6258733455681889
1,0.997857143,0.006422939393920291,0.38744061678044905,0.20545062373037284,0.4072150307885721,0.4835584026652001,0.5486905143456379,0.13261726778975874,0.4383683394259611,0.24299597739579792,0.20811260741137416,0.28955968832019247,0.21246852169218033,0.21436167272069095,0.33503640080449026,0.15663784203350972,0.23578922548003903,0.39614773377685764,0.3631713882592716,0.5002348793675844,0.38546969572104417,0.2810999318398595,0.5464748579349085,0.3399401274043143,0.5409658406185507,0.36346708271816924,0.42565970577798884,0.5106230515067077,0.4897822757079304,0.28619715772723786,0.30602930456511684,0.47060639361331574,0.5233707159591031,0.42720631156389693,0.39612365542535904,0.5508405057336525,0.6238610593616967,0.5474952237568788,0.2913731060811665,0.450545343401558,0.5002537983343813,0.5386521687803186,0.4376339921474825,0.5039013067062417,0.3914152655643134,0.4471511037362772,0.66907368782629,0.4004660677028741,0.5526288528122202,0.6296255951171936,0.6330074007455461
1,0.9975,0.006307539502794963,0.3900145307866432,0.2046023425106514,0.4055133306905735,0.48302577126809165,0.5486305838022085,0.1320964052181235,0.4384545543123345,0.24247287606989626,0.20801080852038129,0.28865786473351024,0.2107862417789187,0.21505994274552825,0.33564279370313355,0.1556517215231126,0.2366349178783686,0.3978309111570273,0.3632211203006825,0.5009117489030591,0.38806541502717773,0.28316205484609286,0.547981832391802,0.3393186559399867,0.538645383814473,0.3664755411205254,0.42712267381627655,0.5149707979245883,0.487615591858976,0.27569090200779883,0.306074176297833,0.47019904089838377,0.5291736866729178,0.4289209273019644,0.39107558378124374,0.5503828802165643,0.6216351147288174,0.5366903391690052,0.2908650480138875,0.444672541441412,0.4958768403494073,0.53560132288373,0.43756044157657725,0.5036320345562528,0.38875513067981937,0.4532836006874709,0.6741343180975354,0.39875788787204575,0.5607780861988241,0.6245657784701424,0.6236063940220492
1,0.997142857,0.007300286413359881,0.3885166110023656,0.2060465994731246,0.40690593794007396,0.48291612375450266,0.5478516243516809,0.13339217373122267,0.43908872224549017,0.24156451863032957,0.20670753688030338,0.292981090060649,0.21007154756446922,0.21565977379769918,0.33596295833755446,0.1566062616391675,0.23598847960284697,0.3958165620693871,0.3633566152194861,0.5021689646048251,0.3873943786631009,0.28129431606413646,0.5499597452351966,0.34188349612729796,0.5427900200030816,0.3648913755619964,0.4274124454481662,0.5064501491300704,0.48673400486490787,0.2828046531746014,0.3066153808888056,0.4742752651736215,0.5274088566772908,0.4269378909534517,0.3979845722983387,0.5464459294870448,0.6245417672270629,0.543249384516995,0.28164862277621333,0.44914610129135757,0.4986487962380618,0.5422631451302855,0.4396786896846385,0.5004860294029699,0.3830757090593808,0.4645510037063028,0.6623893828286411,0.4066746189534089,0.5643483027777128,0.6227992970471717,0.6286161955347628
1,0.996785714,0.007550913782999951,0.387446346807638,0.20550017069082202,0.4071139862423771,0.48248408721858177,0.5481912444837302,0.13416511746649726,0.4373893869373792,0.24325219195796507,0.20601989775295282,0.29157144035846444,0.210207122921536,0.21363707622803182,0.3358085590201316,0.1555570088755298,0.23610746511320796,0.3969983289748112,0.3597670604500216,0.5014756835079414,0.38691973252275036,0.28151381176101253,0.5499667486695581,0.3422962853335994,0.5412451689917795,0.3672916535471888,0.4278760195397818,0.5111011594377081,0.4861454401305718,0.2874986066329058,0.30599317388218694,0.471969173332802,0.5295004010519531,0.4324042836721873,0.3981112573660625,0.5525553126678374,0.6170187187342917,0.5413955837739264,0.28135414807326936,0.4481130371821342,0.5033854538109274,0.5387239875174887,0.4399146183336799,0.5048299340782414,0.3797832879356247,0.4514987359478738,0.6558636555905938,0.40256484084775923,0.5740940452516649,0.6395797638708999,0.6240321359681333
